in:location,in:Orientation,in:ObstructAngle,in:Width,in:Depth,in:Ceiling Height,in:Wall Thickness,in:Window Width,in:Window Bottom Sill,in:Window Top Sill,in:Spacing Between Windows,in:WWR,in:Ceiling Reflectance,in:Wall Reflectance,in:Floor Reflectance,in:Shade Trigger Distance (1000 direct),out:sDA300
 SC,180,0,40,50,9,0.5,2,2.5,8.7,4,0.206666667,80,60,20,5,0.143
 SC,0,40,40,50,10,1,1,0.3,9.7,3,0.2115,80,60,20,1,0
 SC,90,0,40,40,9,1,2,2.5,8.7,1,0.413333333,80,60,20,1,0.333
 SC,90,40,40,50,12,0.5,1,2.5,11.7,3,0.1725,80,60,20,5,0
 SC,90,20,40,40,9,1,1,0.3,8.7,1,0.443333333,80,60,20,1,0.256
 PH,90,20,40,30,10,0.5,4,0.3,9.7,4,0.376,80,60,20,1,0.724
 PH,180,20,40,30,10,0.5,2,0.3,9.7,1,0.564,80,60,20,5,0.897
 SC,270,0,40,50,10,0.5,4,2.5,9.7,4,0.288,80,60,20,5,0.224
 SC,180,20,40,50,10,1,1,2.5,9.7,3,0.162,80,60,20,1,0
 SC,90,20,40,50,10,1.5,4,0.3,9.7,3,0.47,80,60,20,5,0.306
 SC,180,40,40,50,12,1.5,1,0.3,11.7,2,0.30875,80,60,20,5,0
 PH,0,20,40,40,9,1.5,4,0.3,8.7,1,0.653333333,80,60,20,5,0.462
 PH,0,20,40,50,12,1.5,4,0.3,11.7,2,0.57,80,60,20,5,0.388
 SC,90,40,40,30,9,1.5,3,0.3,8.7,4,0.35,80,60,20,1,0.172
 PH,180,20,40,30,10,0.5,4,2.5,9.7,2,0.432,80,60,20,5,0.724
 SC,180,20,40,40,10,1,1,2.5,9.7,3,0.162,80,60,20,5,0
 PH,180,20,40,40,9,1.5,2,2.5,8.7,2,0.31,80,60,20,5,0.231
 PH,180,20,40,40,10,0.5,4,2.5,9.7,3,0.36,80,60,20,5,0.462
 PH,270,0,40,30,12,1.5,4,2.5,11.7,4,0.306666667,80,60,20,5,0.483
 PH,270,20,40,40,9,1,4,2.5,8.7,4,0.275555556,80,60,20,5,0.385
 SC,0,40,40,50,9,0.5,1,0.3,8.7,3,0.21,80,60,20,5,0
 PH,270,0,40,50,10,1.5,1,2.5,9.7,1,0.342,80,60,20,5,0
 SC,0,40,40,30,9,1,2,0.3,8.7,4,0.28,80,60,20,1,0.172
 PH,0,40,40,40,12,1.5,1,0.3,11.7,4,0.16625,80,60,20,1,0
 SC,270,0,40,40,10,1,1,2.5,9.7,3,0.162,80,60,20,1,0
 SC,270,40,40,40,10,1,1,2.5,9.7,2,0.234,80,60,20,5,0
 PH,270,40,40,50,12,0.5,1,2.5,11.7,1,0.364166667,80,60,20,1,0.163
 PH,0,20,40,40,10,1,3,0.3,9.7,2,0.4935,80,60,20,1,0.436
 PH,90,20,40,50,12,1.5,1,0.3,11.7,1,0.45125,80,60,20,1,0.327
 PH,180,40,40,50,9,1.5,1,0.3,8.7,3,0.21,80,60,20,5,0
 PH,180,20,40,50,12,1,1,2.5,11.7,1,0.364166667,80,60,20,1,0.286
 PH,0,40,40,50,12,1,4,2.5,11.7,3,0.383333333,80,60,20,1,0.122
 SC,90,20,40,50,12,1.5,1,2.5,11.7,2,0.249166667,80,60,20,5,0.061
 SC,180,0,40,50,12,1,3,2.5,11.7,2,0.4025,80,60,20,5,0.367
 SC,90,0,40,40,10,1,2,0.3,9.7,2,0.423,80,60,20,5,0.282
 SC,90,20,40,30,12,1,4,2.5,11.7,4,0.306666667,80,60,20,1,0.586
 PH,0,40,40,50,12,1,3,0.3,11.7,3,0.4275,80,60,20,1,0.204
 PH,270,40,40,30,10,0.5,2,0.3,9.7,2,0.423,80,60,20,1,0.552
 SC,270,0,40,30,12,1.5,3,2.5,11.7,3,0.345,80,60,20,1,0.414
 SC,270,40,40,30,12,1.5,2,0.3,11.7,3,0.3325,80,60,20,1,0.034
 PH,180,40,40,50,12,1,4,2.5,11.7,2,0.46,80,60,20,5,0.469
 SC,270,0,40,50,10,1.5,2,0.3,9.7,2,0.423,80,60,20,5,0.163
 SC,0,40,40,30,10,1.5,4,0.3,9.7,2,0.564,80,60,20,5,0.31
 PH,270,0,40,30,12,1.5,1,0.3,11.7,3,0.21375,80,60,20,5,0
 SC,180,20,40,40,9,1,3,2.5,8.7,3,0.31,80,60,20,5,0.256
 PH,180,0,40,40,9,0.5,1,2.5,8.7,4,0.120555556,80,60,20,1,0
 SC,270,0,40,40,9,1.5,3,0.3,8.7,1,0.63,80,60,20,5,0.359
 PH,90,20,40,30,9,1,1,0.3,8.7,4,0.163333333,80,60,20,1,0.034
 PH,90,20,40,40,12,0.5,2,0.3,11.7,4,0.285,80,60,20,1,0.462
 PH,180,40,40,50,9,0.5,3,2.5,8.7,4,0.258333333,80,60,20,1,0.245
 SC,180,40,40,40,9,1,3,2.5,8.7,3,0.31,80,60,20,1,0.256
 PH,0,40,40,40,9,0.5,4,0.3,8.7,4,0.373333333,80,60,20,5,0.205
 SC,90,20,40,30,9,1.5,1,2.5,8.7,1,0.327222222,80,60,20,1,0.241
 SC,0,20,40,40,9,0.5,3,0.3,8.7,4,0.35,80,60,20,5,0
 SC,270,40,40,30,9,1,4,2.5,8.7,3,0.344444444,80,60,20,1,0.241
 PH,180,0,40,40,9,0.5,2,2.5,8.7,2,0.31,80,60,20,5,0.333
 PH,0,20,40,50,12,1,2,2.5,11.7,1,0.46,80,60,20,1,0.204
 PH,270,20,40,40,9,1.5,2,2.5,8.7,3,0.241111111,80,60,20,5,0.205
 SC,90,40,40,50,9,1,2,2.5,8.7,2,0.31,80,60,20,5,0.122
 SC,270,40,40,30,10,1,1,2.5,9.7,3,0.162,80,60,20,1,0
 PH,270,0,40,40,10,1,1,0.3,9.7,3,0.2115,80,60,20,5,0
 PH,90,40,40,40,9,1,1,2.5,8.7,3,0.155,80,60,20,1,0
 PH,180,0,40,50,10,0.5,1,2.5,9.7,4,0.126,80,60,20,5,0
 SC,180,0,40,30,10,1,2,0.3,9.7,1,0.564,80,60,20,5,0.586
 SC,270,20,40,40,12,1.5,4,2.5,11.7,4,0.306666667,80,60,20,5,0.385
 SC,0,40,40,30,12,0.5,2,2.5,11.7,2,0.345,80,60,20,5,0.379
 SC,180,40,40,30,12,1,1,2.5,11.7,2,0.249166667,80,60,20,5,0.172
 SC,90,20,40,30,9,1.5,2,2.5,8.7,3,0.241111111,80,60,20,1,0.207
 PH,270,20,40,50,12,0.5,3,0.3,11.7,3,0.4275,80,60,20,1,0.51
 PH,0,0,40,50,9,1.5,3,0.3,8.7,3,0.42,80,60,20,5,0.327
 PH,0,20,40,30,10,1,3,2.5,9.7,2,0.378,80,60,20,1,0.552
 PH,270,20,40,50,9,0.5,4,2.5,8.7,4,0.275555556,80,60,20,1,0.367
 SC,90,40,40,30,10,0.5,3,0.3,9.7,4,0.3525,80,60,20,5,0.276
 PH,0,40,40,40,10,1.5,3,0.3,9.7,1,0.6345,80,60,20,1,0.205
 SC,180,0,40,30,9,1.5,2,0.3,8.7,3,0.326666667,80,60,20,1,0.207
 SC,180,20,40,40,9,0.5,3,0.3,8.7,2,0.49,80,60,20,5,0.333
 PH,270,40,40,50,12,1,2,2.5,11.7,1,0.46,80,60,20,5,0.367
 PH,0,40,40,30,10,1,3,0.3,9.7,3,0.423,80,60,20,1,0.414
 PH,270,40,40,30,10,1.5,2,2.5,9.7,1,0.432,80,60,20,5,0.552
 SC,270,40,40,40,10,0.5,2,0.3,9.7,3,0.329,80,60,20,1,0.172
 PH,90,40,40,40,12,1.5,4,0.3,11.7,2,0.57,80,60,20,1,0.59
 PH,90,40,40,40,9,1.5,3,0.3,8.7,3,0.42,80,60,20,5,0.282
 SC,0,20,40,30,9,1,3,2.5,8.7,3,0.31,80,60,20,5,0.241
 SC,270,0,40,30,10,1,3,2.5,9.7,4,0.27,80,60,20,5,0.276
 PH,180,20,40,30,12,0.5,2,2.5,11.7,4,0.23,80,60,20,1,0.517
 PH,90,20,40,40,9,0.5,4,2.5,8.7,1,0.482222222,80,60,20,1,0.513
 SC,270,0,40,50,12,1,2,0.3,11.7,3,0.3325,80,60,20,1,0.224
 PH,270,20,40,30,9,0.5,2,0.3,8.7,4,0.28,80,60,20,1,0.586
 SC,90,0,40,40,12,1,2,2.5,11.7,4,0.23,80,60,20,1,0.308
 PH,180,20,40,30,10,0.5,1,2.5,9.7,3,0.162,80,60,20,5,0.138
 PH,0,40,40,50,10,1,3,0.3,9.7,3,0.423,80,60,20,5,0.163
 PH,270,20,40,30,12,1,1,0.3,11.7,4,0.16625,80,60,20,1,0.414
 SC,270,20,40,30,9,1,3,2.5,8.7,2,0.361666667,80,60,20,5,0.345
 SC,270,0,40,50,9,1,3,0.3,8.7,4,0.35,80,60,20,5,0.143
 PH,0,40,40,40,10,0.5,2,2.5,9.7,3,0.252,80,60,20,1,0.205
 SC,90,40,40,50,12,1.5,2,0.3,11.7,2,0.4275,80,60,20,5,0.204
 PH,0,0,40,50,10,0.5,2,2.5,9.7,3,0.252,80,60,20,5,0.347
 SC,0,20,40,30,10,1.5,4,2.5,9.7,1,0.504,80,60,20,1,0.345
 SC,270,0,40,50,10,1,3,0.3,9.7,3,0.423,80,60,20,1,0.265
 SC,270,40,40,30,9,0.5,2,2.5,8.7,4,0.206666667,80,60,20,1,0.207
 SC,180,0,40,50,10,0.5,1,2.5,9.7,3,0.162,80,60,20,1,0.082
 SC,0,0,40,30,12,0.5,3,0.3,11.7,3,0.4275,80,60,20,5,0.586
 SC,270,0,40,50,12,1,2,2.5,11.7,3,0.268333333,80,60,20,5,0.163
 PH,90,40,40,30,10,1,2,2.5,9.7,4,0.216,80,60,20,1,0.345
 SC,180,0,40,30,12,0.5,4,0.3,11.7,4,0.38,80,60,20,1,0.69
 SC,270,40,40,40,10,0.5,1,2.5,9.7,3,0.162,80,60,20,5,0
 SC,0,0,40,30,9,1.5,4,0.3,8.7,1,0.653333333,80,60,20,1,0.517
 PH,90,20,40,30,9,1,4,0.3,8.7,3,0.466666667,80,60,20,1,0.655
 PH,270,40,40,30,10,1.5,4,0.3,9.7,2,0.564,80,60,20,1,0.621
 PH,180,40,40,30,10,1,4,0.3,9.7,2,0.564,80,60,20,1,0.931
 SC,90,0,40,50,12,1.5,3,2.5,11.7,3,0.345,80,60,20,5,0.327
 SC,0,0,40,40,9,1.5,4,0.3,8.7,4,0.373333333,80,60,20,5,0.282
 PH,270,20,40,50,10,1.5,3,0.3,9.7,4,0.3525,80,60,20,5,0.204
 SC,270,20,40,30,10,1,1,0.3,9.7,1,0.4465,80,60,20,1,0.345
 SC,270,20,40,50,10,0.5,3,0.3,9.7,4,0.3525,80,60,20,5,0.204
 SC,0,40,40,30,10,0.5,3,2.5,9.7,4,0.27,80,60,20,5,0.138
 SC,90,0,40,40,12,1.5,4,0.3,11.7,3,0.475,80,60,20,5,0.513
 PH,0,0,40,30,10,0.5,2,0.3,9.7,3,0.329,80,60,20,1,0.655
 SC,90,0,40,40,9,0.5,4,0.3,8.7,2,0.56,80,60,20,1,0.436
 PH,0,40,40,50,12,1.5,1,0.3,11.7,3,0.21375,80,60,20,1,0
 SC,90,40,40,40,12,1.5,4,0.3,11.7,3,0.475,80,60,20,1,0.282
 PH,180,0,40,40,9,1.5,1,0.3,8.7,1,0.443333333,80,60,20,5,0.128
 PH,180,40,40,40,10,1,3,2.5,9.7,3,0.324,80,60,20,5,0.333
 SC,0,40,40,40,12,1.5,3,0.3,11.7,3,0.4275,80,60,20,1,0.154
 PH,90,40,40,30,9,0.5,2,2.5,8.7,1,0.413333333,80,60,20,1,0.517
 PH,0,40,40,50,12,0.5,3,0.3,11.7,2,0.49875,80,60,20,5,0.204
 PH,180,40,40,50,10,1,4,0.3,9.7,2,0.564,80,60,20,1,0.408
 SC,0,0,40,40,9,1,2,0.3,8.7,3,0.326666667,80,60,20,1,0.205
 PH,90,20,40,40,10,1.5,4,0.3,9.7,3,0.47,80,60,20,5,0.462
 SC,270,40,40,30,12,0.5,3,2.5,11.7,1,0.5175,80,60,20,1,0.448
 SC,270,20,40,30,9,1.5,2,0.3,8.7,3,0.326666667,80,60,20,1,0.172
 SC,90,40,40,30,10,0.5,1,2.5,9.7,3,0.162,80,60,20,5,0
 PH,90,0,40,50,9,1.5,1,0.3,8.7,1,0.443333333,80,60,20,5,0
 PH,180,0,40,50,9,1,4,0.3,8.7,1,0.653333333,80,60,20,5,0.388
 SC,180,0,40,40,12,0.5,4,2.5,11.7,2,0.46,80,60,20,1,0.564
 SC,0,20,40,30,10,1.5,2,2.5,9.7,4,0.216,80,60,20,1,0
 SC,0,20,40,30,10,0.5,3,0.3,9.7,3,0.423,80,60,20,5,0.172
 PH,90,20,40,50,9,1.5,3,2.5,8.7,2,0.361666667,80,60,20,1,0.306
 PH,90,20,40,30,9,1.5,4,2.5,8.7,3,0.344444444,80,60,20,5,0.517
 SC,90,20,40,50,12,1.5,3,2.5,11.7,3,0.345,80,60,20,5,0.327
 PH,180,20,40,50,12,0.5,3,2.5,11.7,4,0.2875,80,60,20,1,0.367
 SC,270,40,40,40,12,1,3,0.3,11.7,1,0.64125,80,60,20,5,0.333
 PH,0,20,40,30,12,1,4,2.5,11.7,1,0.536666667,80,60,20,5,0.586
 PH,0,0,40,50,10,0.5,4,2.5,9.7,4,0.288,80,60,20,5,0.143
 PH,180,0,40,30,10,1,1,2.5,9.7,2,0.234,80,60,20,1,0.138
 PH,90,20,40,30,12,1,4,2.5,11.7,2,0.46,80,60,20,1,1
 PH,90,20,40,30,12,1.5,2,2.5,11.7,1,0.46,80,60,20,5,0.793
 SC,90,0,40,50,9,0.5,2,0.3,8.7,2,0.42,80,60,20,5,0.265
 SC,0,20,40,50,12,1.5,2,0.3,11.7,4,0.285,80,60,20,5,0.143
 PH,180,0,40,40,9,1,3,0.3,8.7,4,0.35,80,60,20,1,0.256
 PH,270,0,40,50,9,1.5,2,0.3,8.7,4,0.28,80,60,20,1,0.041
 SC,270,20,40,50,12,0.5,4,2.5,11.7,1,0.536666667,80,60,20,1,0.429
 SC,0,40,40,50,9,1.5,2,0.3,8.7,4,0.28,80,60,20,1,0.041
 PH,180,20,40,50,9,1.5,2,2.5,8.7,3,0.241111111,80,60,20,1,0.122
 PH,180,40,40,50,10,1.5,4,2.5,9.7,2,0.432,80,60,20,1,0.347
 SC,180,0,40,50,12,0.5,3,2.5,11.7,4,0.2875,80,60,20,1,0.286
 PH,270,20,40,40,9,1.5,4,2.5,8.7,3,0.344444444,80,60,20,5,0.359
 SC,270,20,40,30,12,0.5,3,2.5,11.7,1,0.5175,80,60,20,5,0.621
 SC,90,40,40,50,9,0.5,1,0.3,8.7,1,0.443333333,80,60,20,1,0.082
